,enwiki,frwiki,dewiki,eswiki,itwiki,ruwiki,ptwiki,nlwiki,jawiki,plwiki,ukwiki,svwiki,cawiki,kowiki,fiwiki,cswiki,trwiki,nowiki,euwiki,zhwiki,eowiki,simplewiki,arwiki,fawiki,idwiki,hewiki,arzwiki,dawiki,huwiki,commonswiki
cawiki,0.61,0.69140625,0.6590038314176245,0.7468354430379747,0.7172995780590717,0.7336244541484717,0.7570093457943925,0.7111111111111111,0.7092511013215859,0.7311320754716981,0.7230046948356808,0.7272727272727273,1.0,0.7428571428571429,0.7538461538461538,0.7339901477832512,0.7178217821782178,0.7067307692307693,0.6666666666666666,0.7235023041474654,0.6865671641791045,0.6494845360824743,0.7361111111111112,0.7149532710280374,0.7087378640776699,0.702020202020202,0.45408163265306123,0.6767676767676768,0.6410256410256411,0.31140350877192985
kowiki,0.61,0.6526717557251909,0.6463878326996197,0.6967213114754098,0.6818181818181818,0.7186147186147186,0.7327188940092166,0.7035398230088495,0.7798165137614679,0.7149532710280374,0.7230046948356808,0.719047619047619,0.7428571428571429,1.0,0.7272727272727273,0.7512437810945274,0.735,0.714975845410628,0.6494845360824743,0.7314814814814815,0.6699507389162561,0.6326530612244898,0.7361111111111112,0.7393364928909952,0.7254901960784313,0.702020202020202,0.4321608040201005,0.7025641025641025,0.6494845360824743,0.3
fiwiki,0.53,0.6039215686274509,0.59765625,0.6455696202531646,0.6508620689655172,0.6877828054298643,0.7170731707317073,0.7109004739336493,0.7169811320754716,0.715,0.715,0.783068783068783,0.7538461538461538,0.7272727272727273,1.0,0.7172774869109948,0.7747252747252747,0.7421052631578947,0.672316384180791,0.7073170731707317,0.675531914893617,0.6629213483146067,0.7121951219512195,0.7236180904522613,0.7083333333333334,0.7292817679558011,0.5,0.7206703910614525,0.6914285714285714,0.2971698113207547
cswiki,0.5633333333333334,0.6561264822134387,0.6177606177606177,0.6528925619834711,0.6794871794871795,0.6872246696035242,0.6837209302325581,0.6940639269406392,0.7155963302752294,0.7135922330097088,0.7303921568627451,0.6926829268292682,0.7339901477832512,0.7512437810945274,0.7172774869109948,1.0,0.7164948453608248,0.6798029556650246,0.6906077348066298,0.7061611374407583,0.6927083333333334,0.6105263157894737,0.6790697674418604,0.6971153846153846,0.6984924623115578,0.7180851063829787,0.4263157894736842,0.6914893617021277,0.654054054054054,0.31336405529953915
trwiki,0.5466666666666666,0.6046511627906976,0.6171875,0.6596638655462185,0.6796536796536796,0.7104072398190046,0.7246376811594203,0.6712328767123288,0.7162790697674418,0.7058823529411765,0.7227722772277227,0.7360406091370558,0.7178217821782178,0.735,0.7747252747252747,0.7164948453608248,1.0,0.7142857142857143,0.6538461538461539,0.6824644549763034,0.7021276595744681,0.6358695652173914,0.7198067632850241,0.7575757575757576,0.7076923076923077,0.6914893617021277,0.46153846153846156,0.6827956989247311,0.6910112359550562,0.3397129186602871
nowiki,0.5733333333333334,0.6293436293436293,0.642023346303502,0.6516393442622951,0.65,0.7232142857142857,0.6898148148148148,0.7077625570776256,0.6830357142857143,0.6952380952380952,0.7033492822966507,0.7587939698492462,0.7067307692307693,0.714975845410628,0.7421052631578947,0.6798029556650246,0.7142857142857143,1.0,0.6612903225806451,0.7122641509433962,0.6565656565656566,0.6612903225806451,0.7333333333333333,0.7115384615384616,0.6965174129353234,0.7340425531914894,0.43455497382198954,0.7258064516129032,0.6612903225806451,0.3271889400921659
euwiki,0.45666666666666667,0.5236220472440944,0.51171875,0.5527426160337553,0.5833333333333334,0.6100917431192661,0.6417910447761194,0.6220095693779905,0.5833333333333334,0.6461538461538462,0.6632124352331606,0.6492146596858639,0.6666666666666666,0.6494845360824743,0.672316384180791,0.6906077348066298,0.6538461538461539,0.6612903225806451,1.0,0.6157635467980296,0.7337278106508875,0.6809815950920245,0.6206896551724138,0.6377551020408163,0.654054054054054,0.6820809248554913,0.484472049689441,0.6627906976744186,0.6606060606060606,0.31088082901554404
zhwiki,0.6366666666666667,0.683206106870229,0.6641509433962264,0.6947791164658634,0.6733870967741935,0.7161016949152542,0.6842105263157895,0.7236842105263158,0.7217391304347827,0.7045454545454546,0.7045454545454546,0.7242990654205608,0.7235023041474654,0.7314814814814815,0.7073170731707317,0.7061611374407583,0.6824644549763034,0.7122641509433962,0.6157635467980296,1.0,0.6367924528301887,0.673469387755102,0.7330316742081447,0.7045454545454546,0.7061611374407583,0.6829268292682927,0.4223300970873786,0.642512077294686,0.6237623762376238,0.29535864978902954
eowiki,0.52,0.5736434108527132,0.5984251968503937,0.6058091286307054,0.6593886462882096,0.6371681415929203,0.6619047619047619,0.6651162790697674,0.6409090909090909,0.642512077294686,0.642512077294686,0.7040816326530612,0.6865671641791045,0.6699507389162561,0.675531914893617,0.6927083333333334,0.7021276595744681,0.6565656565656566,0.7337278106508875,0.6367924528301887,1.0,0.6647727272727273,0.6492890995260664,0.6666666666666666,0.7015706806282722,0.6666666666666666,0.4576271186440678,0.6666666666666666,0.6368715083798883,0.32682926829268294
simplewiki,0.45666666666666667,0.5296442687747036,0.5058365758754864,0.5462184873949579,0.5764192139737991,0.5739910313901345,0.6097560975609756,0.6220095693779905,0.5688073394495413,0.6130653266331658,0.6294416243654822,0.6935483870967742,0.6494845360824743,0.6326530612244898,0.6629213483146067,0.6105263157894737,0.6358695652173914,0.6612903225806451,0.6809815950920245,0.673469387755102,0.6647727272727273,1.0,0.6368159203980099,0.654639175257732,0.6813186813186813,0.7017543859649122,0.49375,0.6627906976744186,0.6606060606060606,0.24019607843137256
arwiki,0.64,0.6806083650190115,0.6742424242424242,0.7195121951219512,0.7049180327868853,0.7652173913043478,0.7111111111111111,0.7205240174672489,0.7336244541484717,0.7090909090909091,0.7247706422018348,0.7209302325581395,0.7361111111111112,0.7361111111111112,0.7121951219512195,0.6790697674418604,0.7198067632850241,0.7333333333333333,0.6206896551724138,0.7330316742081447,0.6492890995260664,0.6368159203980099,1.0,0.7904761904761904,0.719047619047619,0.7213930348258707,0.47,0.705,0.6127450980392157,0.3391304347826087
fawiki,0.6133333333333333,0.6564885496183206,0.6439393939393939,0.6869918699186992,0.7,0.7155172413793104,0.7214611872146118,0.6929824561403509,0.7366071428571429,0.6880733944954128,0.6880733944954128,0.7156398104265402,0.7149532710280374,0.7393364928909952,0.7236180904522613,0.6971153846153846,0.7575757575757576,0.7115384615384616,0.6377551020408163,0.7045454545454546,0.6666666666666666,0.654639175257732,0.7904761904761904,1.0,0.7135922330097088,0.7244897959183674,0.4517766497461929,0.7253886010362695,0.6212121212121212,0.3333333333333333
idwiki,0.5633333333333334,0.6115384615384616,0.5992366412213741,0.6460905349794238,0.6375,0.6724890829694323,0.7075471698113207,0.6636771300448431,0.6846846846846847,0.6729857819905213,0.6729857819905213,0.6844660194174758,0.7087378640776699,0.7254901960784313,0.7083333333333334,0.6984924623115578,0.7076923076923077,0.6965174129353234,0.654054054054054,0.7061611374407583,0.7015706806282722,0.6813186813186813,0.719047619047619,0.7135922330097088,1.0,0.6910994764397905,0.43386243386243384,0.6825396825396826,0.6105263157894737,0.28378378378378377
hewiki,0.5133333333333333,0.5968379446640316,0.5719844357976653,0.6108786610878661,0.6434782608695652,0.6428571428571429,0.6602870813397129,0.6635514018691588,0.6543778801843319,0.6732673267326733,0.681592039800995,0.7382198952879581,0.702020202020202,0.702020202020202,0.7292817679558011,0.7180851063829787,0.6914893617021277,0.7340425531914894,0.6820809248554913,0.6829268292682927,0.6666666666666666,0.7017543859649122,0.7213930348258707,0.7244897959183674,0.6910994764397905,1.0,0.49707602339181284,0.7314285714285714,0.6534090909090909,0.291866028708134
arzwiki,0.34,0.3486590038314176,0.36964980544747084,0.3875,0.4051724137931034,0.39823008849557523,0.4320388349514563,0.413953488372093,0.40825688073394495,0.43,0.4228855721393035,0.4358974358974359,0.45408163265306123,0.4321608040201005,0.5,0.4263157894736842,0.46153846153846156,0.43455497382198954,0.484472049689441,0.4223300970873786,0.4576271186440678,0.49375,0.47,0.4517766497461929,0.43386243386243384,0.49707602339181284,1.0,0.4425287356321839,0.4662576687116564,0.30538922155688625
dawiki,0.49666666666666665,0.5896414342629482,0.55859375,0.5767634854771784,0.6008583690987125,0.6278026905829597,0.6285714285714286,0.647887323943662,0.6388888888888888,0.6567164179104478,0.665,0.694300518134715,0.6767676767676768,0.7025641025641025,0.7206703910614525,0.6914893617021277,0.6827956989247311,0.7258064516129032,0.6627906976744186,0.642512077294686,0.6666666666666666,0.6627906976744186,0.705,0.7253886010362695,0.6825396825396826,0.7314285714285714,0.4425287356321839,1.0,0.6627906976744186,0.28019323671497587
huwiki,0.45666666666666667,0.5357142857142857,0.5296442687747036,0.5659574468085107,0.5903083700440529,0.6027397260273972,0.6176470588235294,0.6376811594202898,0.6056338028169014,0.6294416243654822,0.6377551020408163,0.6492146596858639,0.6410256410256411,0.6494845360824743,0.6914285714285714,0.654054054054054,0.6910112359550562,0.6612903225806451,0.6606060606060606,0.6237623762376238,0.6368715083798883,0.6606060606060606,0.6127450980392157,0.6212121212121212,0.6105263157894737,0.6534090909090909,0.4662576687116564,0.6627906976744186,1.0,0.2777777777777778
commonswiki,0.38666666666666666,0.3505535055350554,0.37593984962406013,0.35546875,0.3654618473895582,0.3469387755102041,0.33766233766233766,0.3140495867768595,0.32098765432098764,0.31004366812227074,0.3157894736842105,0.3125,0.31140350877192985,0.3,0.2971698113207547,0.31336405529953915,0.3397129186602871,0.3271889400921659,0.31088082901554404,0.29535864978902954,0.32682926829268294,0.24019607843137256,0.3391304347826087,0.3333333333333333,0.28378378378378377,0.291866028708134,0.30538922155688625,0.28019323671497587,0.2777777777777778,1.0
